th3 0.79; d_4 1.56 
th3 0.80; d_4 1.56 
th3 0.80; d_4 1.56 
th3 0.80; d_4 1.56 
th3 0.80; d_4 1.56 
th3 0.80; d_4 1.56 
th3 0.80; d_4 1.56 
th3 0.80; d_4 1.55 
th3 0.81; d_4 1.55 
th3 0.81; d_4 1.56 
th3 0.81; d_4 1.56 
th3 0.81; d_4 1.56 
th3 0.81; d_4 1.56 
th3 0.81; d_4 1.56 
th3 0.81; d_4 1.56 
th3 0.81; d_4 1.56 
th3 0.82; d_4 1.56 
